item;Height;H2O Fmi;"O3 
Fmi";CO Fmi;CH4 Fmi;CO2 Fmi;O2 Fmi;N2 Fmi;Ar Fmi
1;4198,540608;3,82819E-06;6,23986E-08;1,24445E-07;9,81072E-07;0,0005697;0,231390075;0,755186979;0,01284825
2;5564,170964;2,37642E-06;6,51369E-08;1,13701E-07;9,75927E-07;0,000569701;0,231390414;0,755188085;0,012848269
3;7172,450829;1,04926E-06;6,9974E-08;1,03245E-07;9,70396E-07;0,000569701;0,231390724;0,755189096;0,012848286
4;9147,764125;2,41179E-07;7,33756E-08;9,07626E-08;9,64928E-07;0,000569702;0,231390914;0,755189717;0,012848297
5;10344,88351;7,98459E-08;7,57881E-08;8,23541E-08;9,6139E-07;0,000569702;0,231390954;0,755189846;0,012848299
6;11754,71084;1,74512E-08;8,13308E-08;7,17643E-08;9,56694E-07;0,000569702;0,23139097;0,755189901;0,0128483
7;13486,28178;3,44381E-09;9,94546E-08;5,87E-08;9,49489E-07;0,000569702;0,231390974;0,755189913;0,0128483
8;15771,54618;1,53248E-09;2,15821E-07;4,31824E-08;9,35078E-07;0,000569702;0,231390955;0,755189849;0,012848299
9;17641,31074;0,00;6,52287E-07;3,33068E-08;9,1507E-07;0,000569702;0,231390861;0,755189543;0,012848294
10;19292,72702;0,00;1,98788E-06;2,70989E-08;8,87792E-07;0,000569701;0,231390559;0,75518856;0,012848277
11;21606,4891;0,00;6,67694E-06;2,13079E-08;8,29181E-07;0,000569698;0,231389489;0,755185067;0,012848217
12;23289,67527;0,00;1,14624E-05;1,90E-08;7,71214E-07;0,000569696;0,231388396;0,755181499;0,012848157
13;24407,67137;0,00;1,42138E-05;1,84017E-08;7,27659E-07;0,000569694;0,23138777;0,755179455;0,012848122
14;25883,162;0,00;1,59878E-05;1,88027E-08;6,67507E-07;0,000569693;0,231387373;0,75517816;0,0128481
15;27090,38339;0,00;1,54937E-05;2,01995E-08;6,20095E-07;0,000569693;0,231387498;0,755178568;0,012848107
16;28156,6273;0,00;1,38556E-05;2,23526E-08;5,82269E-07;0,000569694;0,231387885;0,755179832;0,012848128
17;29650,51757;0,00;1,05507E-05;2,71655E-08;5,3994E-07;0,000569696;0,231388659;0,755182356;0,012848171
18;30737,27384;0,00;8,07268E-06;3,24517E-08;5,18551E-07;0,000569698;0,231389236;0,75518424;0,012848203
19;31459,11275;0,00;6,58507E-06;3,71133E-08;5,08773E-07;0,000569698;0,231389581;0,755185367;0,012848223
20;32411,76951;0,00;4,89249E-06;4,52263E-08;5,00893E-07;0,000569699;0,231389973;0,755186645;0,012848244
